HOME/AWAY,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,PTS,GAME_SCORE,+/-
1,6,14,0.429,4,11,0.364,2,2,1.0,11,3,18,17.9,3
1,4,9,0.444,2,7,0.28600000000000003,2,3,0.667,4,2,12,7.3,-3
0,7,16,0.43799999999999994,4,12,0.33299999999999996,2,2,1.0,4,1,20,13.1,-2
0,3,5,0.6,3,4,0.75,2,3,0.667,6,0,11,10.7,2
0,3,11,0.273,1,9,0.111,0,0,0.0,5,2,7,3.6,-12
1,9,15,0.6,6,10,0.6,2,2,1.0,4,3,26,24.0,3
0,4,7,0.5710000000000001,3,5,0.6,1,2,0.5,3,2,12,9.8,22
1,1,8,0.125,1,8,0.125,0,0,0.0,3,0,3,-1.1,-9
0,5,15,0.33299999999999996,2,9,0.222,3,3,1.0,4,1,15,7.6,-5
0,6,16,0.375,6,13,0.462,0,0,0.0,9,4,18,16.1,5
1,0,6,0.0,0,3,0.0,0,0,0.0,6,4,0,0.0,-1
0,6,12,0.5,4,8,0.5,2,2,1.0,7,1,18,15.2,8
0,5,11,0.455,4,8,0.5,3,3,1.0,5,0,17,11.6,-13
1,1,2,0.5,1,2,0.5,0,0,0.0,5,0,3,4.5,-9
0,8,17,0.47100000000000003,5,14,0.35700000000000004,2,3,0.667,3,1,23,15.3,12
0,3,9,0.33299999999999996,3,8,0.375,0,0,0.0,2,1,9,4.4,-10
1,0,0,0.0,0,0,0.0,2,2,1.0,0,0,2,1.6,-1
1,4,8,0.5,3,6,0.5,0,0,0.0,5,1,11,10.1,7
0,5,7,0.7140000000000001,3,4,0.75,1,2,0.5,6,0,14,13.5,-1
0,3,13,0.231,3,9,0.33299999999999996,0,0,0.0,3,0,9,1.2,0
0,4,8,0.5,3,6,0.5,0,0,0.0,3,2,11,10.9,11
1,8,18,0.444,4,13,0.308,1,1,1.0,3,2,21,16.9,13
0,4,8,0.5,3,5,0.6,4,4,1.0,3,2,15,13.4,-6
0,4,9,0.444,0,4,0.0,1,1,1.0,3,1,9,4.7,11
0,5,10,0.5,0,3,0.0,3,5,0.6,5,1,13,10.0,3
0,1,10,0.1,1,9,0.111,0,0,0.0,2,2,3,-4.5,22
1,5,9,0.556,3,7,0.429,2,2,1.0,5,1,15,11.1,17
1,2,10,0.2,1,4,0.25,0,0,0.0,8,4,5,3.4,-2
0,6,9,0.667,4,6,0.667,1,1,1.0,4,2,17,14.5,16
0,4,11,0.364,3,8,0.375,0,0,0.0,1,2,11,9.9,-4
0,2,7,0.28600000000000003,1,3,0.33299999999999996,1,2,0.5,3,2,6,3.8,-1
1,3,11,0.273,3,8,0.375,0,0,0.0,5,2,9,4.8,-2
1,3,8,0.375,2,5,0.4,0,0,0.0,5,2,8,6.3,-1
1,4,14,0.28600000000000003,4,11,0.364,2,2,1.0,4,0,14,5.2,9
1,6,12,0.5,4,10,0.4,5,5,1.0,6,2,21,22.9,36
1,4,12,0.33299999999999996,1,6,0.16699999999999998,0,0,0.0,4,4,9,8.2,2
0,2,7,0.28600000000000003,1,4,0.25,2,4,0.5,3,0,7,3.6,-6
1,4,8,0.5,2,5,0.4,0,0,0.0,1,1,10,5.8,-2
1,3,8,0.375,1,5,0.2,0,0,0.0,4,0,7,3.6,5
0,3,12,0.25,0,8,0.0,0,0,0.0,3,1,6,1.0,-6
0,4,8,0.5,0,0,0.0,0,1,0.0,4,0,8,6.9,-7
0,4,8,0.5,1,2,0.5,3,6,0.5,11,1,12,11.0,-8
0,1,5,0.2,0,2,0.0,2,2,1.0,3,3,4,1.9,-4
0,7,23,0.304,4,13,0.308,7,8,0.875,4,3,25,11.2,14
1,5,11,0.455,1,6,0.16699999999999998,7,8,0.875,1,2,18,11.8,11
1,8,20,0.4,5,15,0.33299999999999996,6,7,0.857,4,7,27,17.9,11
0,7,20,0.35,5,16,0.313,10,12,0.833,4,5,29,20.7,-4
0,9,22,0.409,6,16,0.375,2,3,0.667,2,2,26,9.6,14
1,8,18,0.444,5,14,0.35700000000000004,4,4,1.0,0,2,25,13.2,4
0,6,13,0.462,4,8,0.5,1,1,1.0,2,4,17,12.7,23
0,6,13,0.462,3,7,0.429,5,5,1.0,2,5,20,18.1,8
1,7,15,0.467,6,11,0.545,0,0,0.0,6,2,20,10.9,14
1,7,16,0.43799999999999994,4,11,0.364,2,2,1.0,2,0,20,8.4,-5
1,7,16,0.43799999999999994,6,11,0.545,6,7,0.857,2,2,26,17.2,8
0,6,16,0.375,3,11,0.273,6,8,0.75,1,4,21,13.0,21
1,3,12,0.25,0,7,0.0,6,7,0.857,1,3,12,3.2,-9
1,9,20,0.45,6,12,0.5,4,6,0.667,4,2,28,17.0,-16
0,6,13,0.462,3,7,0.429,5,5,1.0,3,1,20,9.5,1
0,9,23,0.391,4,14,0.28600000000000003,2,3,0.667,3,3,24,13.7,1
0,5,16,0.313,3,10,0.3,4,5,0.8,5,6,17,10.3,9
1,12,24,0.5,2,9,0.222,4,6,0.667,3,7,30,25.3,-9
0,6,13,0.462,3,7,0.429,0,0,0.0,3,7,15,11.3,-6
